submission_id,total_score,evaluations_count,total_score_variance,compare_score,compare_variance,readPlayersFromFile_score,readPlayersFromFile_variance,writePlayersToFile_score,writePlayersToFile_variance,updatePlayerStats_score,updatePlayerStats_variance,calculateTeamAverageRuns_score,calculateTeamAverageRuns_variance,teamFilter_score,teamFilter_variance,allRounderFilter_score,allRounderFilter_variance
1078,27,5,0.3,2,0.0,8,0.0,2,0.3,3,0.0,5,0.0,3,0.0,3,0.2
1084,0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1095,26,5,0.3,2,0.0,6,0.0,3,0.0,3,0.0,2,0.0,5,0.0,5,0.3
1101,29,5,0.2,2,0.0,7,0.0,3,0.0,3,0.0,4,0.2,5,0.0,5,0.0
1106,4,5,0.8,0,0.0,0,0.0,0,0.0,2,0.3,2,0.3,0,0.0,0,0.0
1117,24,5,0.3,2,0.0,5,0.0,2,0.0,5,0.0,3,0.0,3,0.0,4,0.3
1118,19,5,0.0,2,0.0,0,0.0,0,0.0,4,0.0,3,0.0,5,0.0,5,0.0
1120,10,5,1.7,2,0.0,5,0.0,1,0.2,1,0.3,0,0.3,0,0.0,0,0.0
1121,12,5,0.3,2,0.0,5,0.2,0,0.0,2,0.0,3,0.2,0,0.0,0,0.0
1124,0,5,12.8,0,0.0,0,0.8,0,0.2,0,0.8,0,0.2,0,0.2,0,0.2
1125,24,5,10.8,0,0.0,9,0.0,0,0.0,5,7.5,5,7.5,0,0.0,5,7.5
1129,13,5,0.2,2,0.0,3,0.2,0,0.0,2,0.0,2,0.0,2,0.0,2,0.0
1135,1,5,0.8,1,0.0,0,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1136,30,5,0.0,2,0.0,7,0.0,4,0.0,4,0.0,3,0.0,5,0.0,5,0.0
1137,6,5,0.2,0,0.0,0,0.0,0,0.0,3,0.2,0,0.0,3,0.0,0,0.0
1142,16,5,1.0,2,0.0,6,0.2,0,0.0,0,0.0,2,1.2,3,0.0,5,0.0
1143,2,5,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1148,17,5,0.8,2,0.0,0,0.3,0,0.0,5,0.0,5,0.2,5,0.0,0,0.8
1154,15,5,0.8,2,0.0,5,0.8,0,0.0,2,0.0,2,0.0,2,0.0,2,0.0
1156,17,5,0.2,2,0.0,0,0.0,0,0.0,3,0.0,2,0.2,5,0.0,5,0.0
1163,34,5,0.2,2,0.0,9,0.2,4,0.0,5,0.0,5,0.0,5,0.0,4,0.0
1168,35,5,1.2,2,0.0,9,0.3,4,0.0,5,0.0,5,0.3,5,0.0,5,0.0
1172,3,5,0.0,0,0.0,0,0.0,0,0.0,3,0.0,0,0.0,0,0.0,0,0.0
1176,32,5,0.0,2,0.0,9,0.0,3,0.0,4,0.0,4,0.0,5,0.0,5,0.0
1177,30,5,0.0,2,0.0,9,0.0,3,0.0,5,0.0,4,0.0,5,0.0,2,0.0
1181,31,5,0.3,2,0.0,6,0.3,3,0.0,5,0.0,5,0.0,5,0.0,5,0.0
1192,6,5,0.0,2,0.0,0,0.0,0,0.0,2,0.0,1,0.0,1,0.0,0,0.0
1199,0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1200,13,5,0.3,0,0.0,3,0.2,0,0.0,3,0.0,0,0.0,2,0.0,5,0.2
1213,32,5,0.0,2,0.0,9,0.0,4,0.0,4,0.0,4,0.0,5,0.0,4,0.0
1219,1,5,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1221,22,5,0.0,2,0.0,0,0.0,0,0.0,5,0.0,5,0.0,5,0.0,5,0.0
1223,18,5,0.0,2,0.0,6,0.0,4,0.0,3,0.0,3,0.0,0,0.0,0,0.0
1225,17,5,0.0,2,0.0,5,0.0,0,0.0,3,0.0,2,0.0,3,0.0,2,0.0
1227,31,5,2.2,2,0.0,9,0.3,3,0.3,4,0.0,4,0.0,5,0.0,5,0.0
1231,1,5,0.3,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1236,27,5,0.0,2,0.0,5,0.0,4,0.0,5,0.0,3,0.0,3,0.0,5,0.0
1237,7,5,0.8,2,0.0,5,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1238,34,5,0.0,2,0.0,9,0.0,3,0.0,5,0.0,5,0.0,5,0.0,5,0.0
1242,2,5,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1245,0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1251,0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1252,23,5,0.2,2,0.0,6,0.2,2,0.0,3,0.0,3,0.0,5,0.0,2,0.0
1253,4,5,1.2,2,0.0,0,0.0,0,0.0,2,1.2,0,0.0,0,0.0,0,0.0
1255,21,5,9.8,2,0.0,6,0.0,4,0.0,4,0.0,4,0.2,2,0.3,3,0.3
1261,17,5,0.2,0,0.0,5,0.2,2,0.0,5,0.0,5,0.0,0,0.0,0,0.0
1265,11,5,0.8,2,0.0,3,0.2,0,0.0,1,0.2,2,0.0,2,0.0,1,0.2
1266,6,5,0.3,2,0.2,2,0.3,1,0.0,2,0.0,0,0.0,0,0.0,0,0.0
1271,15,5,0.2,0,0.0,5,0.0,2,0.0,2,0.0,3,0.0,2,0.0,1,0.2
1272,31,5,0.8,2,0.0,9,0.0,3,0.0,5,0.0,5,0.0,5,0.2,2,0.2
1277,28,5,2.3,0,0.3,7,0.3,4,0.0,4,0.0,3,0.3,5,0.0,5,0.0
1281,35,5,0.0,2,0.0,9,0.0,4,0.0,5,0.0,5,0.0,5,0.0,5,0.0
1286,25,5,0.2,2,0.0,6,0.0,3,0.2,4,0.0,3,0.0,3,0.0,4,0.0
1293,16,5,0.7,2,0.0,0,0.0,0,0.0,0,0.0,4,0.3,5,0.0,5,0.3
1296,2,5,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1298,5,5,7.5,0,0.0,2,1.2,1,0.3,1,0.3,1,0.3,0,0.0,0,0.0
1299,0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1301,11,5,5.3,1,0.3,5,0.8,0,0.0,0,0.0,1,0.3,1,0.3,0,0.0
1305,0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
